t,rho,stored,prefetching,threshold
37.0,0.9,450,False,0.3
37.05,0.9,450,False,0.3
37.11,0.9,450,False,0.3
37.16,0.9,450,False,0.3
37.22,0.9,450,False,0.3
37.29,0.9,450,False,0.3
37.34,0.9,450,False,0.3
37.4,0.9,450,False,0.3
37.45,0.9,450,False,0.3
37.51,0.9,450,False,0.3
37.57,0.9,450,False,0.3
37.62,0.9,450,False,0.3
37.68,0.9,450,False,0.3
37.76,0.9,450,False,0.3
37.81,0.9,450,False,0.3
37.87,0.9,450,False,0.3
37.93,0.9,450,False,0.3
37.98,0.9,450,False,0.3
38.04,0.9,450,False,0.3
38.1,0.9,450,False,0.3
38.15,0.9,450,False,0.3
38.21,0.9,450,False,0.3
38.27,0.9,450,False,0.3
38.33,0.9,450,False,0.3
38.39,0.9,450,False,0.3
38.44,0.9,450,False,0.3
38.5,0.9,450,False,0.3
38.56,0.9,450,False,0.3
38.61,0.9,450,False,0.3
38.66,0.9,450,False,0.3
38.72,0.9,450,False,0.3
38.78,0.9,450,False,0.3
38.84,0.9,450,False,0.3
38.9,0.9,450,False,0.3
38.95,0.9,450,False,0.3
39.01,0.9,450,False,0.3
39.07,0.9,450,False,0.3
39.12,0.9,450,False,0.3
39.18,0.9,450,False,0.3
39.23,0.9,450,False,0.3
39.29,0.9,450,False,0.3
39.35,0.9,450,False,0.3
39.41,0.9,450,False,0.3
39.46,0.9,450,False,0.3
39.51,0.9,450,False,0.3
39.57,0.9,450,False,0.3
39.63,0.9,450,False,0.3
39.68,0.9,450,False,0.3
39.73,0.9,450,False,0.3
39.78,0.9,450,False,0.3
39.83,0.9,450,False,0.3
39.88,0.9,450,False,0.3
39.97,0.9,450,False,0.3
